PLOT_FILE,DISEASE1,DISEASE2,DISEASE3
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_01_01_001_01_01.tif,0.0,18.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_01_02_022_02_11.tif,0.0,18.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_01_03_040_03_08.tif,0.0,30.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_01_04_050_04_15.tif,0.0,18.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_02_01_002_01_02.tif,0.0,7.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_02_02_023_02_10.tif,0.0,7.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_02_03_038_03_06.tif,0.0,11.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_02_04_052_04_13.tif,0.0,10.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_03_01_003_01_03.tif,0.0,15.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_03_02_020_02_13.tif,0.0,15.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_03_03_041_03_09.tif,0.0,16.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_03_04_058_04_07.tif,0.0,15.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_04_01_004_01_04.tif,0.0,12.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_04_02_025_02_08.tif,0.0,17.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_04_03_048_03_16.tif,0.0,25.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_04_04_056_04_09.tif,0.0,18.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_05_01_005_01_05.tif,0.0,11.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_05_02_024_02_09.tif,0.0,17.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_05_03_046_03_14.tif,0.0,13.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_05_04_063_04_02.tif,0.0,7.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_06_01_006_01_06.tif,0.0,8.0,0.0
plots/Micasense_Rededge-Dual_ms_reflectance/2020-DE-524/2020-05-04_06_02_018_02_15.tif,0.0,12.0,0.0
